Format,format_family,CTR avg,Viewability,Metric mapping,Indicative cost,Creative complexity,primary_objective,secondary_objective,best_for_brief,best_for_advertiser_type,video_asset_needed,strong_mobile_fit,premium_impact,storytelling_strength,Source page
Infinity skin - core,Infinity desktop,2.21%,85.82%,Exact family benchmark (Infinity Skin),High,Medium,Awareness,Consideration,Premium desktop storytelling and standout impact,"Premium brands, launches, or visually rich advertisers",No,No,High,Medium,https://immediate.co.uk/advertising/digital-advertising-specs/
Infinity skin - toggle,Infinity desktop,2.21%,85.82%,Exact family benchmark (Infinity Skin),High,High,Awareness,Consideration,Multi-message campaigns where users can explore states or products,"Premium brands, launches, or visually rich advertisers",No,No,High,High,https://immediate.co.uk/advertising/digital-advertising-specs/
Infinity skin - card reel,Infinity desktop,2.21%,85.82%,Exact family benchmark (Infinity Skin),High,High,Awareness,Consideration,Sequential storytelling across multiple frames or cards,"Premium brands, launches, or visually rich advertisers",No,No,High,High,https://immediate.co.uk/advertising/digital-advertising-specs/
Infinity skin - gallery,Infinity desktop,2.21%,85.82%,Exact family benchmark (Infinity Skin),High,High,Awareness,Consideration,"Showcasing multiple products, scenes, or visuals in one premium placement","Premium brands, launches, or visually rich advertisers",No,No,High,High,https://immediate.co.uk/advertising/digital-advertising-specs/
Infinity scroll - core,Infinity mobile,1.12%,72.74%,Exact family benchmark (Infinity Scroll),High,Medium,Awareness,Consideration,Mobile-first storytelling with persistent brand presence,Mobile-focused brands or campaigns,No,Yes,High,Medium,https://immediate.co.uk/advertising/digital-advertising-specs/
Infinity scroll - gallery,Infinity mobile,1.12%,72.74%,Family benchmark proxy (Infinity Scroll),High,High,Awareness,Consideration,Mobile-first campaigns needing multiple creative frames or richer interaction,Mobile-focused brands or campaigns,No,Yes,High,High,https://immediate.co.uk/advertising/digital-advertising-specs/
IX Product,Experiential,,,,High,High,Awareness,Consideration,Bespoke experiential campaigns needing custom execution,Premium brands needing tailored creative solutions,No,N/A,High,High,
Event,Experiential,,,,High,High,Awareness,Consideration,"Live engagement, face-to-face activation, and lead generation",Brands needing direct audience interaction,No,N/A,High,High,
E-Newsletter,Newsletter,,,,Low,Low,Reach,Consideration,Efficient newsletter reach and simple message delivery,Advertisers needing cost-effective audience reach,No,Yes,Low,Low,
E-Newsletter Drama,Newsletter,,,,Low,Low,Reach,Consideration,Campaigns targeting drama fans or TV drama contexts,"Entertainment, streaming, and drama-aligned advertisers",No,Yes,Low,Low,
E-Newsletter Gaming,Newsletter,,,,Low,Low,Reach,Consideration,Campaigns targeting gaming audiences,"Gaming, tech, and entertainment advertisers",No,Yes,Low,Low,
E-Newsletter On Demand,Newsletter,,,,Low,Low,Reach,Consideration,Campaigns targeting streaming or on-demand audiences,"Streaming, entertainment, and subscription brands",No,Yes,Low,Low,
GW Premium MPU,Newsletter,,,,Low,Low,Reach,Consideration,Clickable newsletter display around engaged subscribers,Advertisers wanting efficient clicks from engaged audiences,No,Yes,Low,Low,
Solus Email,Email,,,,Medium,Medium,Reach,Consideration,Dedicated email messages to a defined audience,Advertisers with clear offers or single-message campaigns,No,Yes,Medium,Medium,
Competition,Content,,,,Medium,Medium,Engagement,Lead Generation,Engagement-led campaigns needing data capture,"Advertisers with prizes, offers, or acquisition goals",No,Yes,Medium,Medium,
Hub,Content,,,,High,Medium,Consideration,Engagement,Content-led partnerships needing a deeper brand destination,Advertisers with strong Immediate audience fit,No,Yes,High,High,
Microsite,Content,,,,High,High,Consideration,Engagement,"Deep storytelling, education, and richer product journeys",Brands with complex products or rich stories to explain,No,Yes,High,High,
Host Read,Podcast,,,,Medium,Low,Awareness,Consideration,Podcast campaigns needing authentic host endorsement,Advertisers comfortable with host-led messaging,No,N/A,High,High,
Podcast,Podcast,,,,Low,Low,Awareness,Reach,Audio campaigns needing scalable awareness,Brands with simple messages suited to audio,No,N/A,Medium,Medium,
Sampling,Experiential,,,,High,Medium,Consideration,Trial,Product trial and hands-on audience experience,"FMCG, beauty, food, or product-led advertisers",,N/A,High,Medium,
Sponsored Article,Content,,,,Medium,Medium,Consideration,Awareness,Editorial-style storytelling and product explanation,"Brands needing credibility, context, or education",No,Yes,High,High,
Eclipse Takeover,Impact Display,,,,High,Medium,Awareness,Consideration,High-impact campaigns needing page dominance,Premium or launch-focused advertisers,No,Yes,High,Medium,
Masthead ,Impact Display,,,,Medium,Low,Awareness,Reach,High-impact branding with simple creative,Advertisers seeking standout awareness,No,No,Medium,Low,
Masthead Takeover,Impact Display,,,,High,Medium,Awareness,Consideration,Premium content ownership and high-visibility awareness,"Premium advertisers, launches, or tentpole campaigns",No,No,High,Medium,
Infinity Audio,Impact Display,,,,High,High,Awareness,Consideration,Rich media campaigns combining audio and visual storytelling,Brands with audio assets and premium creative,No,Yes,High,High,
Sponsored Channel (RT),Content Display,,,,High,High,Consideration,Awareness,Category ownership around relevant content environments,Advertisers with strong Radio Times audience fit,No,Yes,High,High,
Branded Content Video - social,Content,,,,Medium,High,Engagement,Awareness,Bespoke social storytelling campaigns,Brands wanting custom content and social engagement,Yes,Yes,Medium,High,
Branded Content Video (with Talent) - social,Content,,,,High,High,Engagement,Consideration,Campaigns needing creator influence or trusted voices,"Brands seeking credibility, advocacy, or stronger audience connection",Yes,Yes,High,High,
Native Video - social,Content,,,,Low,Low,Engagement,Awareness,Extending existing editorial content to social audiences,Brands looking for efficient content amplification,Yes,Yes,Medium,Medium,
Sponsored Video - social,Content,,,,Medium,Medium,Awareness,Engagement,Video sponsorship campaigns across YouTube and social,Brands seeking association with trusted content and creators,Yes,Yes,Medium,Medium,
True Native Recipe,Content,,,,High,High,Consideration,Engagement,Food and ingredient-led storytelling campaigns,"FMCG, food, grocery and kitchen brands",No,Yes,High,High,
Supplied Native Recipe,Content,,,,Medium,Low,Consideration,Engagement,Recipe-led campaigns requiring faster delivery,Food brands with existing recipe assets,No,Yes,Medium,Medium,
Repurposed Native Recipe,Content,,,,Low,Low,Awareness,Consideration,Efficient brand integration into proven content,Brands seeking cost-effective association with trusted recipes,No,Yes,Medium,Medium,
Repurposed Article,Content,,,,Low,Low,Awareness,Consideration,Cost-efficient integration into high-traffic editorial environments,Brands focused on reach and contextual relevance,No,Yes,Medium,Medium,
True Native,Content,,,,High,High,Consideration,Trust,Authority-building and thought-leadership campaigns,Brands seeking editorial credibility and audience trust,No,Yes,High,High,
Native Advertorial,Advertorial,,,,Medium,Medium,Consideration,Awareness,Collaborative branded storytelling campaigns,Brands wanting greater input into content creation,No,Yes,High,High,
DPS Advertorial,Advertorial,,,,Medium,Medium,Consideration,Awareness,Thought leadership,Education,No,No,High,High,
Single Page Advertorial,Advertorial,,,,Medium,Medium,Consideration,Awareness,Brand positioning,Education,No,No,Medium,Medium,
Half Page Vertical Advertorial,Advertorial,,,,Low,Low,Awareness,Consideration,Brand visibility,CTA,No,No,Medium,Low,
Quarter Page Strip Advertorial,Advertorial,,,,Low,Low,Awareness,Action,Logo presence,Response,No,No,Medium,Very Low,
Bookend Display,Display,,,,Low,Low,Awareness,Consideration,Brand association,CTA,No,No,High,Low,
Advertisement Feature,Premium Content,,,,High,High,Consideration,Brand Affinity,Thought leadership,Education,No,No,High,Very High,
Supplement,Premium Content,,,,Very High,High,Consideration,Brand Affinity,Deep engagement,Education,No,No,High,Very High,
Subscription Envelope,Direct Marketing,,,,Medium,Low,Action,Awareness,Existing subscribers,Response,No,No,High,Low,
Gatefold (General),Premium Display,,,,High,Medium,Awareness,Consideration,Brand launches,Impact,No,No,High,Medium,
Display Ad,Display,,,,Medium,Medium,Awareness,Action,Brand visibility,Response,No,No,Medium,Low,
Belly Band,Premium Display,,,,Medium,Medium,Awareness,Consideration,Mass visibility,Impact,No,No,Medium,Low,
DPS Listing Strip,Sponsorship,,,,Low,Low,Awareness,Action,Frequency of exposure,CTA,No,No,Medium,Very Low,
Garden of the Year Sponsorship,Sponsorship,,,,High,Medium,Brand Affinity,Consideration,Category ownership,Association,No,No,High,High,
2-for-1 Gardens Guide,Sponsorship,,,,High,Medium,Consideration,Action,Relevant audiences,Engagement,No,No,Medium,High,
Calendar Sponsorship,Sponsorship,,,,High,Medium,Awareness,Brand Affinity,Long-term exposure,Association,No,No,High,Medium,
Streaming DPS Sponsored Border,Sponsored Content,,,,Low,Low,Awareness,Association,Entertainment brands,Consideration,No,No,High,Low,
Non-Standard Ad Shape,Premium Display,,,,High,High,Awareness,Consideration,Disruption,Standout,No,No,Medium,Low,
DPS Recipe Content ft Client Talent,Sponsored Content,,,,High,High,Consideration,Brand Affinity,Food brands,Education,No,No,High,High,
Single Page Recipe Sponsored Border,Sponsored Content,,,,Low,Low,Awareness,Association,Food brands,Recall,No,No,Medium,Low,
DPS Recipe Sponsored Corner Turn,Sponsored Content,,,,Low,Low,Action,Awareness,Traffic-driving campaigns,Response,No,No,High,Very Low,
BBC Good Food Calendar,Sponsorship,,,,High,Medium,Awareness,Affinity,Food brands,Long-term presence,No,No,High,Medium,
Bound-In Barn Door,Premium Print Innovation,,,,High,High,Awareness,Consideration,Product launches,Standout,No,No,Medium,Medium,
Advent Calendar,Interactive Print,,,,High,High,Engagement,Action,Promotions,Participation,No,No,High,High,
Feature Sponsorship,Sponsorship,,,,High,Medium,Brand Affinity,Awareness,Subject matter ownership,Association,No,No,High,High,
Gardeners' World Gatefold,Premium Display,,,,High,Medium,Awareness,Consideration,High-impact launches,Standout,No,No,High,Medium,
